bil_uuid	name	description	organization_name	lab_name	project_funder_id	project_funder	data_path	submission_status	validation_status						
1231ea9a51cf9003	2022 Q2 U19 Huang Level 1 Mini Atlas Data Upload	Level 1 -- Raw Split Channel TIFF Images	"University of California, Los Angeles"	Center for Integrative Connectomics	1U19MH114821-01	NIH	/bil/lz/ibowman/1231ea9a51cf9003	SUCCESS	SUCCESS						
															
	sample_id	organism_type	organism_ncbi_taxonomy_id	transgenetic_line_information	modality	method	technique	anatomical_structure	total_processed_cells	organization	lab	investigator	grant_number	r24_name	r24_directory
	SW211216-01	mouse	NCBI:txid10090	C57Bl6	Connectivity	anterograde tracing	anterograde tracing	ZI:DHM:ZI	1	"University of California, Los Angeles"	Center for Integrative Connectomics	Hongwei Dong	1U19MH114821-01	BIL	/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW211216-01B
	SW211216-02	mouse	NCBI:txid10090	C57Bl6	Connectivity	anterograde tracing	anterograde tracing	LHA:LHA:ZI	1	"University of California, Los Angeles"	Center for Integrative Connectomics	Hongwei Dong	1U19MH114821-01	BIL	/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW211216-02B
	SW211216-03	mouse	NCBI:txid10090	C57Bl6	Connectivity	anterograde tracing	anterograde tracing	ZI:VTA:CPD	1	"University of California, Los Angeles"	Center for Integrative Connectomics	Hongwei Dong	1U19MH114821-01	BIL	/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW211216-03B
	SW220327-03	mouse	NCBI:txid10090	C57Bl6	Connectivity	retrograde tracing	retrograde tracing	ACA:ACA:ACA	1	"University of California, Los Angeles"	Center for Integrative Connectomics	Hongwei Dong	1U19MH114821-01	BIL	/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW220327-03A
	SW220213-01	mouse	NCBI:txid10090	C57Bl6	Connectivity	retrograde tracing	retrograde tracing	LHA:LHA:LHA:Tu	1	"University of California, Los Angeles"	Center for Integrative Connectomics	Hongwei Dong	1U19MH114821-01	BIL	/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW220213-01A
	SW220213-02	mouse	NCBI:txid10090	C57Bl6	Connectivity	retrograde tracing	retrograde tracing	LHA:LHA:LHA:LHA	1	"University of California, Los Angeles"	Center for Integrative Connectomics	Hongwei Dong	1U19MH114821-01	BIL	/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW220213-02A
